iter	Passed	Remaining
0	0	40
1	0	39
2	1	37
3	1	40
4	2	38
5	2	37
6	2	36
7	3	35
8	4	41
9	4	44
10	5	42
11	5	41
12	5	39
13	6	39
14	6	38
15	7	37
16	7	36
17	8	37
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	33
24	10	32
25	10	31
26	11	30
27	11	29
28	11	28
29	11	27
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	21
44	19	23
45	19	22
46	20	22
47	20	22
48	21	21
49	21	21
50	21	20
51	22	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	18
57	24	17
58	25	17
59	25	17
60	27	17
61	27	16
62	27	16
63	28	15
64	28	15
65	32	16
66	32	16
67	33	15
68	33	15
69	33	14
70	34	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	36	10
78	37	9
79	37	9
80	37	8
81	38	8
82	38	7
83	38	7
84	39	6
85	39	6
86	39	5
87	40	5
88	40	5
89	41	4
90	41	4
91	41	3
92	42	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	44	0
